Metabolite ID,Metabolites Names
cspg_ab_rest[e],"Not degradable product CSABCPASE_A/B, Gal4S-Gal-Xyl-L-Ser-protein"
cspg_b[e],chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan
cspg_b_degr[e],Dimer GalNAc4S-IdoA2S
cspg_c[e],chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan
cspg_c_degr[e],Dimer GalNAc6S-GlcA
cspg_c_rest[e],"Not degradable product CSABCPASE_C, Gal6S-Gal-Xyl-L-Ser-protein"
ha[e],hyaluronan
ha_deg1[e],hyaluronan degradation product 1
ha_pre1[e],"hyaluronan biosynthesis, precursor 1"
homogal[e],"Homogalacturonan, 100 galacturonate residues. Assumed to be methylated/ acetylated in every 5th residue. Citrus HG consists of 7... <Preview truncated at 128 characters>"
idour[e],L-iduronate
pecticgal[e],"Pectic galactan (potato), gal: arab-L: rmn: galur = 78: 9: 4: 9 (www.megazyme.com). Assumed to consist of 100 sugars per macromo... <Preview truncated at 128 characters>"
rhamnogalurI[e],"Potato rhamnogalacturonan I, MW assumed ~200000, 62 galur, 20 rmn, 12 gal, 3 arab-L, 1 xyl-D (www.megazyme.com, PMID: 16661590)"
amylopect900[e],"Amylopectin, 900 repeat units"
amylose300[e],"amylose (n=300 repeat units, alpha-1,4-glc)"
arabinan101[e],"Arabinan, polymer of 1,5-a-L-linked arabinofuranose units substituted by 1,3 or 1,2 linked branches, MW ~ 15000 Da (REF: www.meg... <Preview truncated at 128 characters>"
arabinoxyl[e],"Arabinoxylan, 30 xyl_D, 18 arab_L, 3 gal, 3 glc_D"
bglc[e],beta-glucans
dextran40[e],"Dextran 40, 1,6-alpha-D-Glucan"
galmannan[e],"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed"
gam26s[e],"Glucosamine 2,6-sulfate"
glcmannan[e],"Konjac glucomannan, MW 77,500 (PMID:17962981), Man:Glc ~ 2:1. -> 286 man, 143 glc_D"
hspg[e],heparan sulfate proteoglycan
hspg_degr_1[e],"Product 1 HEPARL1_e, IdoA-GlcN2,6diS-GlcA-GlcN2,3,6triS"
hspg_degr_10[e],"Product AS3TASE_HS2, GlcN2S-IdoA-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein)"
hspg_degr_11[e],"Product GAM2STASE_HS3, GlcN-IdoA-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein)"
hspg_degr_12[e],"Product GLCNACASE_HS2, GlcA-GlcNAc-IdoA-Gal-Gal-Xyl-L-Ser (protein)"
hspg_degr_13[e],"Product GLCAASE_HS, GlcNAc-IdoA-Gal-Gal-Xyl-L-Ser (protein)"
hspg_degr_14[e],"Product GLCNACASE_HS3, IdoA-Gal-Gal-Xyl-L-Ser (protein)"
hspg_degr_15[e],"Product IDOURASE_HS3, Gal-Gal-Xyl-L-Ser (protein)"
hspg_degr_2[e],"Product 2 HEPARL1_e, IdoA2S-GlcN2,6diS-IdoA2S-GlcNAc3S-GlcA-Gal-Gal-Xyl-L-Ser (protein)"
hspg_degr_3[e],"Product IDOURASE_HS1, GlcN2,6diS-GlcA-GlcN2,3,6triS"
hspg_degr_4[e],"Product AS6TASE_HS1, GlcN2S-GlcA-GlcN2,3diS"
hspg_degr_5[e],"Product AS3TASE_HS1, GlcN2S-GlcA-GlcN2S"
hspg_degr_6[e],"Product GAM2STASE_HS2, GlcN-GlcA-GlcN"
hspg_degr_7[e],"Product IS2TASE_HS1, IdoA-GlcN2,6diS-IdoA-GlcNAc3S-GlcA-Gal-Gal-Xyl-L-Ser (protein)"
hspg_degr_8[e],"Product IDOURASE_HS2, GlcN2,6diS-IdoA-GlcNAc3S-GlcA-Gal-Gal-Xyl-L-Ser (protein)"
hspg_degr_9[e],"Product AS6TASE_HS2, GlcN2S-IdoA-GlcNAc3S-GlcA-Gal-Gal-Xyl-L-Ser (protein)"
hspg_rest[e],"Undegradable product GALASE_HS, Xyl-L-Ser (protein)"
levan1000[e],"Levan, 1000 fructose units"
levanb[e],Levanbiose
levanttr[e],Levantriose
levantttr[e],Levantetraose
lichn[e],"Lichenin from Icelandic moss, 170 glucose residues. DOI: 10.1039/JR9570001951"
lmn2[e],Laminaribiose
lmn30[e],"laminarin (n=30 repeat units, beta -1,3 glc)"
xyluglc[e],"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L"
4hpro_LT[e],trans-4-hydroxy-L-proline
icdchol[e],Isochenodeoxycholate
isochol[e],Isocholate
xylan[e],"Oat spelt xylan, MW 79200 (DOI: 10.1002/masy.200551405) = 528 xyl_D"
2omfuc[e],2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omxyl[e],2-O-methylxylose (rare sugar in rhamnogalacturonan II)
3ddlhept[e],3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
acerA[e],Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
apio_D[e],D-Apiose (rare sugar in rhamnogalacturonan II)
kdo[e],3-Deoxy-D-manno-2-octulosonate
