Metabolite Name,Metabolites IDs
"5,6,7,8-Tetrahydrofolate",thf[e]
"Propane-1,3-diol",13ppd[e]
xanthosine,xtsn[e]
Dimethyl sulfide,dms[e]
Dimethyl sulfoxide,dmso[e]
Sulfite,so3[e]
Tetrathionate,tet[e]
Coenzyme A,coa[e]
GTP,gtp[e]
Thiamin monophosphate,thmmp[e]
"Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587",cellul[e]
S-Adenosyl-L-methionine,amet[e]
CMP,cmp[e]
dATP,datp[e]
Nicotinamide adenine dinucleotide phosphate,nadp[e]
L-Idonate,idon_L[e]
trans-Cinnamate,cinnm[e]
selenate,sel[e]
selenite,selni[e]
butanol,btoh[e]
Methanethiol,ch4s[e]
Indole-3-propionate,ind3ppa[e]
D-lactate,lac_D[e]
L-lactate,lac_L[e]
(R)-3-(4-Hydroxyphenyl)propionate,r34hpp[e]
2-methylbutyrate,2mbut[e]
4-Methylcatechol,4mcat[e]
5-Aminopentanoate,5aptn[e]
p-Cresol,pcresol[e]
lithocholate,HC02191[e]
Ursodiol,HC02194[e]
Allodeoxycholic acid,adchac[e]
Allolithocholic acid,alchac[e]
deoxycholic acid,dchac[e]
L-cystine,Lcystin[e]
Reduced riboflavin,rbflvrd[e]
p-hydroxyphenylpropionic acid,phppa[e]
Valeric Acid,M03134[e]
Ursocholate,uchol[e]
Polysulfide,ph2s[e]
cholesterol,chsterol[e]
Coprostanol,coprost[e]
S-Adenosyl-L-homocysteine,ahcys[e]
Methane,ch4[e]
formaldehyde,fald[e]
Bicarbonate,hco3[e]
Hydrogen peroxide,h2o2[e]
Oxaloacetate,oaa[e]
AOC3,_8639_1_c
ABP1,_26_1[e]; _26_1_c; _26_1_m
AOC2,_314_1_c; _314_2_c
SLC25A21,_89874_1_c
LDHAL6B,_92483_1_c; _92483_1_m
LDHC,_3948_2_c; _3948_1_m; _3948_1_c
UEVLD,_55293_1_c
LDHB,_3945_1_m; _3945_1_c
LDHA,_3939_1_m; _3939_1_c
LDHA:LDHB,_3939_1_c_3945_1_c
LDHAL6A,_160287_1_c
SLC16A3,_9123_1_c
SLC16A7,_9194_1_c
SLC16A1,_6566_1_c
SLC4A5,_57835_3_c; _57835_2_c; _57835_4_c; _57835_1_c
SLC4A4,_8671_1_c
OGDH,_4967_1_c; _4967_2_m; _4967_1_m; _4967_1[e]
DLD,_1738_1_m
PDHX,_8050_1_m
DLST,_1743_1_m
DLD:DLST:OGDH:PDHX,_1738_1_m_1743_1_m_4967_2_m_8050_1_m; _1738_1_m_1743_1_m_4967_1_m_8050_1_m
ADH6,_130_1_c
ADH4,_127_1_c
ADH1B,_125_1_c
ADH1A,_124_1_c
ADH1A:ADH1B,_124_1_c_125_1_c
ADH7,_131_1_c
ADH1C,_126_1_c
ADH1A:ADH1C,_124_1_c_126_1_c
ADH5,_128_1_c
ADHFE1,_137872_1_c
ADH1B:ADH1C,_125_1_c_126_1_c
SLC16A10,_117247_1_c
HPD,_3242_1_c
ABAT,_18_1_c; _18_2_m; _18_1_m; _18_2_c
KDSR,_2531_1_c
HAAO,_23498_1_c
AADAT,_51166_1_c; _51166_2_c
CCBL1,_883_1_c
DDC,_1644_1_c
SLC25A13,_10165_1_c
SLC25A12,_8604_1_c
GOT2,_2806_1_m
MAOA,_4128_1_c
MAOB,_4129_1_c
ALDH4A1,_8659_1_m; _8659_2_m
ALDH3B2,_222_1_m; _222_1[e]; _222_1_c
ALDH1A3,_220_1_c; _220_1_m; _220_1[e]
ALDH3B1,_221_1_m; _221_1[e]; _221_1_c
ALDH3A1,_218_1_m; _218_1[e]; _218_1_c
SULT1A2,_6799_2_c; _6799_1_c
SULT1A1,_6817_5_c; _6817_3_c; _6817_4_c; _6817_2_c; _6817_1_c
SULT1A3,_6818_3_c; _6818_1_c; _6818_2_c
SULT2A1,_6822_1_c
AOX1,_316_1_c
FOLR1,_2348_5_c; _2348_2_c; _2348_3_c; _2348_1_c; _2348_4_c; _2348_6_c
FOLR3,_2352_1_c
MAN2B1,_4125_1_l
A4GALT,_53947_1_g
AACS,_65985_1_c
ABO,_28_1_g
ALDH9A1,_223_1[e]; _223_1_m; _223_1_c
SLC36A1,_206358_1_c
ACAT1,_38_1_m; _38_1_r
ACAT2,_39_1_c; _39_1_x; _39_1_r
HADHA,_3030_1_r; _3030_1[e]; _3030_1_m
HADHB,_3032_1_r; _3032_1_m; _3032_1_c
HADHA:HADHB,_3030_1_m_3032_1_m
ACAA1,_30_1_c; _30_1_x; _30_1_m; _30_1_r
SLC33A1,_9197_1_c; _9197_1_g
NAGK,_55577_1_c
PGM3,_5238_1_c
PIGL,_9487_1_c
ACHE,_43_1[e]; _43_2[e]
ACLY,_47_1_c; _47_2_c
NANS,_54187_1_c
SLC17A5,_26503_1_c
ACADSB,_36_1_m
ACADM,_34_1_m; _34_1_c; _34_1_x
ACAD10,_80724_1_m
ACADS,_35_1_m
ACAD11,_84129_1_m
ACAD8,_27034_1_m; _27034_1_c
ACAD9,_28976_1_m; _28976_1_c
ACOX1,_51_2_x; _51_1_c; _51_1_x; _51_1_m
IREB2,_3658_1_c
ACO1,_48_1_m; _48_1_c
ACO2,_50_1_c; _50_1_m
ACOX2,_8309_1_x
ACP1,_52_3_c; _52_2_c; _52_1_c
SLC25A20,_788_1_c
ADA,_100_1[e]; _100_1_c
SLC29A2,_3177_1_c
AK7,_122481_1_c
AK1,_203_1_c
AK5,_26289_2_c; _26289_1_c
AK4,_205_1_m; _205_1_c; _205_2_m; _205_3_m
AK2,_204_3_m; _204_2_m; _204_1_c; _204_1_m
AK3,_50808_1_m
AMD1,_262_1_c
ADCY6,_112_1_c; _112_2_c
ADCY10,_55811_1_c
ADCY3,_109_1_c
ADCY8,_114_1_c
ADCY2,_108_1_c
ADCY7,_113_1_c
ADCY1,_107_1_c
ADCY4,_196883_1_c
ADCY9,_115_1_c
ADCY5,_111_1_c
SLC29A1,_2030_1_c
CPT1B,_1375_3_c; _1375_4_c; _1375_1_c; _1375_2_c
CPT1C,_126129_1_c
CPT1A,_1374_1_c
CPT2,_1376_1_c; _1376_1_m
PAPSS2,_9060_1_c
PAPSS1,_9061_1_c
ADSL,_158_2_c; _158_1_c
ADSS,_159_1_c
ADSSL1,_122622_2_c; _122622_1_c
B3GNT4,_79369_1_g
B3GNT2,_10678_1_g; _10678_2_g
B3GNT1,_11041_1_g
B3GNTL1,_146712_1_g
B3GNT8,_374907_2_g; _374907_1_g
B3GNT7,_93010_1_g
B3GNT3,_10331_1_g
AGMAT,_79814_1_m
AGXT2,_64902_1_m
AGXT2L1,_64850_1_m
HEXB,_3074_1_l
HEXA,_3073_1_l
HEXA:HEXB,_3073_1_l_3074_1_l
ATIC,_471_1_c
PAICS,_10606_1_c
SLC25A11,_8402_1_c
AKR1C1,_1645_1_c
AKR1D1,_6718_1_c
SLC1A5,_6510_1_c
SLC1A4,_6509_1_c
SLC7A10,_56301_1_c
SLC3A2,_6520_1_c
SLC7A10:SLC3A2,_56301_1_c_6520_1_c
PROSC,_11212_1_c
ALAS2,_212_1_m
GCAT,_23464_1_m
ALAS1,_211_1_m; _211_2_m
SLC38A2,_54407_1_c
SLC7A2,_6542_1_c
SLC6A14,_11254_1_c
SLC7A1,_6541_1_c
SLC38A1,_81539_1_c
SLC38A4,_55089_1_c
SLC7A3,_84889_1_c
SLC38A5,_92745_1_c
SLC38A3,_10991_1_c
ZADH2,_284273_1_c; _284273_2_c
AKR1A1,_10327_2_c; _10327_1_c
ALDH7A1,_501_1[e]; _501_1_c; _501_1_m
ALDH1A2,_8854_3_c; _8854_2_c; _8854_1_c
ALDH3A2,_224_1[e]; _224_1_c; _224_1_m
ALDH1A1,_216_1_c
ALDH1B1,_219_1[e]; _219_1_c; _219_1_m
ALDH2,_217_1_c; _217_1_m; _217_1[e]
ALOX5,_240_1_c
AKR7A2,_8574_1_c
AKR1B1,_231_1_c
AMACR,_23600_2_x; _23600_1_x
GNE,_10020_1_c
SLC25A26,_115286_1_c; _115286_2_c; _115286_3_c
AMPD2,_271_3_c; _271_2_c; _271_1_c
AMPD1,_270_1_c
AMPD3,_272_1_c
ANPEP,_290_1_c; _290_1[e]
ADC,_113451_1_m
ARG2,_384_1_m
ASL,_435_1_c
ASS1,_445_2_c; _445_1_c
SLC25A2,_83884_1_c
SLC25A15,_10166_1_c
ARSA,_410_1_l
SLC23A2,_9962_1_c; _9962_2_c
SLC23A1,_9963_1_c; _9963_2_c
ASRGL1,_80150_1_m
ASNS,_440_1_c; _440_3_c; _440_2_c
GOT1,_2805_1_c
ENTPD2,_954_2[e]; _954_1[e]; _954_1_c
ENTPD1,_953_1[e]; _953_1_m; _953_1_c
ENTPD3,_956_1_m; _956_1[e]; _956_1_c
ENTPD6,_955_1[e]
ENTPD5,_957_1[e]
ATP5D,_513_2_c; _513_1_c
ATP5A1,_498_2_c; _498_3_c; _498_1_c
ATP5B,_506_1_c
ATP5C1,_509_1_c; _509_2_c
ATP5E,_514_1_c; _514_2_c
ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E,_498_3_c_506_1_c_509_1_c_513_1_c_514_1_c; _498_2_c_506_1_c_509_2_c_513_2_c_514_1_c; _498_2_c_506_1_c_509_2_c_513_1_c_514_1_c; _498_3_c_506_1_c_509_1_c_513_2_c_514_1_c; _498_1_c_506_1_c_509_2_c_513_2_c_514_1_c; _498_2_c_506_1_c_509_1_c_513_2_c_514_2_c; _498_3_c_506_1_c_509_1_c_513_2_c_514_2_c; _498_3_c_506_1_c_509_2_c_513_1_c_514_2_c; _498_3_c_506_1_c_509_2_c_513_2_c_514_1_c; _498_2_c_506_1_c_509_2_c_513_2_c_514_2_c; _498_3_c_506_1_c_509_2_c_513_2_c_514_2_c; _498_2_c_506_1_c_509_1_c_513_1_c_514_1_c; _498_2_c_506_1_c_509_1_c_513_2_c_514_1_c; _498_1_c_506_1_c_509_2_c_513_1_c_514_1_c; _498_1_c_506_1_c_509_1_c_513_2_c_514_1_c; _498_3_c_506_1_c_509_1_c_513_1_c_514_2_c; _498_1_c_506_1_c_509_1_c_513_1_c_514_2_c; _498_1_c_506_1_c_509_2_c_513_1_c_514_2_c; _498_2_c_506_1_c_509_1_c_513_1_c_514_2_c; _498_1_c_506_1_c_509_2_c_513_2_c_514_2_c; _498_1_c_506_1_c_509_1_c_513_1_c_514_1_c; _498_3_c_506_1_c_509_2_c_513_1_c_514_1_c; _498_2_c_506_1_c_509_2_c_513_1_c_514_2_c
ATP5L,_10632_1_c
NSF,_4905_1_c
ATP5H,_10476_1_c; _10476_2_c
ATP5J2,_9551_2_c; _9551_1_c; _9551_3_c
ATP5J,_522_3_c; _522_1_c; _522_2_c; _522_4_c; _522_5_c
ATP5G1,_516_2_c; _516_1_c
ATP5I,_521_1_c
ATP5F1,_515_3_c; _515_2_c; _515_1_c
